Fertilizer,Temperature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorus
DAP,22,58,53,Neutral/Acidic,196,4,402
DAP,24,58,46,Neutral/Acidic,183,5,430
DAP,25,65,51,Neutral/Acidic,196,1,427
DAP,19,64,38,Neutral/Acidic,188,3,406
DAP,24,47,53,Neutral/Acidic,194,2,439
DAP,30,62,50,Neutral/Acidic,181,3,407
DAP,23,57,47,Neutral/Acidic,185,0,410
DAP,23,58,41,Neutral/Acidic,185,1,402
DAP,27,57,52,Neutral/Acidic,197,5,420
DAP,27,60,40,Neutral/Acidic,189,5,433
DAP,25,60,41,Neutral/Acidic,196,1,442
DAP,25,53,37,Neutral/Acidic,186,0,449
DAP,24,47,53,Neutral/Acidic,196,1,439
DAP,21,64,50,Neutral/Acidic,199,1,423
DAP,23,49,53,Neutral/Acidic,187,1,452
DAP,30,51,54,Neutral/Acidic,189,5,416
DAP,28,57,50,Neutral/Acidic,183,0,453
DAP,21,64,35,Neutral/Acidic,186,2,411
DAP,22,47,54,Neutral/Acidic,183,2,418
DAP,19,52,44,Neutral/Acidic,197,3,409
DAP,25,45,38,Neutral/Acidic,193,1,439
DAP,22,56,49,Neutral/Acidic,186,0,437
DAP,20,64,42,Neutral/Acidic,187,1,413
DAP,18,55,49,Neutral/Acidic,182,0,444
DAP,25,60,37,Neutral/Acidic,196,5,429
DAP,22,46,52,Neutral/Acidic,197,3,440
DAP,23,56,36,Neutral/Acidic,199,4,455
DAP,26,51,42,Neutral/Acidic,192,1,412
DAP,28,47,48,Neutral/Acidic,187,5,457
DAP,20,50,41,Neutral/Acidic,180,4,436
DAP,25,56,41,Neutral/Acidic,184,2,432
DAP,18,45,54,Neutral/Acidic,200,2,455
DAP,22,50,51,Neutral/Acidic,185,1,426
DAP,26,50,37,Neutral/Acidic,198,1,411
DAP,22,54,44,Neutral/Acidic,180,3,432
DAP,21,55,38,Neutral/Acidic,187,3,435
28-28,28,50,44,Loamy/Clayey,294,292,5
28-28,23,55,41,Loamy/Clayey,280,297,3
28-28,26,56,55,Loamy/Clayey,295,294,18
28-28,23,69,42,Loamy/Clayey,282,286,11
28-28,31,67,52,Loamy/Clayey,299,283,20
28-28,22,67,41,Loamy/Clayey,290,296,0
28-28,30,68,41,Loamy/Clayey,294,290,14
28-28,23,51,46,Loamy/Clayey,286,280,10
28-28,24,57,55,Loamy/Clayey,289,281,15
28-28,28,51,45,Loamy/Clayey,288,280,16
28-28,29,70,52,Loamy/Clayey,299,300,3
28-28,22,51,44,Loamy/Clayey,289,296,15
28-28,22,68,55,Loamy/Clayey,284,288,8
28-28,22,55,44,Loamy/Clayey,299,296,18
28-28,25,68,54,Loamy/Clayey,285,290,8
28-28,32,68,59,Loamy/Clayey,290,294,6
28-28,22,64,55,Loamy/Clayey,291,286,4
28-28,32,65,43,Loamy/Clayey,293,287,1
28-28,24,57,46,Loamy/Clayey,287,299,10
28-28,30,50,52,Loamy/Clayey,281,300,1
28-28,27,67,52,Loamy/Clayey,285,282,20
28-28,22,58,43,Loamy/Clayey,291,300,16
28-28,28,69,50,Loamy/Clayey,285,286,12
28-28,20,50,55,Loamy/Clayey,287,288,9
28-28,23,63,44,Loamy/Clayey,286,292,1
28-28,30,69,40,Loamy/Clayey,297,297,15
28-28,20,61,51,Loamy/Clayey,298,292,0
28-28,30,61,51,Loamy/Clayey,289,285,19
28-28,29,59,47,Loamy/Clayey,300,290,19
28-28,21,65,47,Loamy/Clayey,300,299,20
28-28,28,52,52,Loamy/Clayey,281,299,4
28-28,29,62,43,Loamy/Clayey,294,281,13
28-28,21,56,51,Loamy/Clayey,294,298,9
28-28,20,61,54,Loamy/Clayey,293,289,1
28-28,28,50,55,Loamy/Clayey,293,296,13
28-28,21,54,44,Loamy/Clayey,298,293,1
28-28,31,54,48,Loamy/Clayey,289,288,5
28-28,26,59,45,Loamy/Clayey,295,284,5
28-28,30,58,56,Loamy/Clayey,296,296,11
28-28,26,59,58,Loamy/Clayey,290,297,18
28-28,30,63,49,Loamy/Clayey,291,284,17
28-28,26,53,54,Loamy/Clayey,281,295,18
28-28,26,63,58,Loamy/Clayey,286,292,11
28-28,23,65,54,Loamy/Clayey,286,297,9
28-28,26,68,44,Loamy/Clayey,288,293,16
28-28,30,50,57,Loamy/Clayey,292,298,17
28-28,27,67,52,Loamy/Clayey,295,293,2
28-28,22,63,49,Loamy/Clayey,290,284,5
28-28,26,58,54,Loamy/Clayey,290,294,16
28-28,32,55,51,Loamy/Clayey,285,300,12
28-28,29,58,42,Loamy/Clayey,287,289,16
28-28,26,67,50,Loamy/Clayey,280,295,3
28-28,27,66,55,Loamy/Clayey,286,281,15
28-28,31,56,41,Loamy/Clayey,283,291,13
28-28,25,67,56,Loamy/Clayey,285,287,7
28-28,20,70,48,Loamy/Clayey,290,298,20
28-28,21,62,55,Loamy/Clayey,299,282,14
28-28,30,69,40,Loamy/Clayey,288,295,9
28-28,25,50,59,Loamy/Clayey,300,291,5
28-28,28,66,46,Loamy/Clayey,281,297,8
28-28,27,51,60,Loamy/Clayey,282,300,9
28-28,22,70,46,Loamy/Clayey,297,298,10
28-28,24,61,42,Loamy/Clayey,284,283,5
28-28,20,50,43,Loamy/Clayey,300,290,14
28-28,27,65,44,Loamy/Clayey,282,298,16
28-28,27,58,43,Loamy/Clayey,296,289,3
28-28,25,52,41,Loamy/Clayey,284,290,15
28-28,30,54,58,Loamy/Clayey,295,286,7
28-28,20,61,50,Loamy/Clayey,296,290,13
28-28,28,54,51,Loamy/Clayey,295,290,8
28-28,28,53,40,Loamy/Clayey,286,289,7
28-28,24,66,42,Loamy/Clayey,294,280,1
28-28,28,66,60,Loamy/Clayey,295,281,13
28-28,25,70,46,Loamy/Clayey,284,280,7
28-28,22,65,45,Loamy/Clayey,280,284,5
28-28,24,67,40,Loamy/Clayey,287,280,2
28-28,32,70,55,Loamy/Clayey,294,296,1
28-28,20,59,50,Loamy/Clayey,289,287,5
28-28,22,68,43,Loamy/Clayey,299,286,19
28-28,20,63,49,Loamy/Clayey,297,280,4
28-28,22,50,47,Loamy/Clayey,287,288,13
28-28,24,61,60,Loamy/Clayey,283,294,17
28-28,21,70,41,Loamy/Clayey,282,295,13
28-28,26,66,51,Loamy/Clayey,283,295,14
28-28,32,68,45,Loamy/Clayey,294,299,14
28-28,24,68,56,Loamy/Clayey,281,284,20
28-28,21,63,55,Loamy/Clayey,286,283,8
28-28,32,64,41,Loamy/Clayey,284,287,17
28-28,31,59,52,Loamy/Clayey,289,280,1
28-28,20,56,60,Loamy/Clayey,289,297,19
28-28,27,56,42,Loamy/Clayey,285,288,18
28-28,22,65,48,Loamy/Clayey,297,289,15
28-28,23,55,40,Loamy/Clayey,282,294,13
28-28,30,62,40,Loamy/Clayey,286,286,14
28-28,30,62,60,Loamy/Clayey,300,293,2
28-28,28,61,54,Loamy/Clayey,285,283,18
28-28,28,59,60,Loamy/Clayey,300,280,20
28-28,26,54,60,Loamy/Clayey,292,299,6
28-28,32,55,57,Loamy/Clayey,290,291,12
28-28,24,63,52,Loamy/Clayey,285,285,10
14-35-14,20,63,40,Loamy/Clayey,141,125,330
14-35-14,23,49,37,Loamy/Clayey,153,138,325
14-35-14,28,57,40,Loamy/Clayey,150,134,308
14-35-14,20,64,38,Loamy/Clayey,159,121,343
14-35-14,29,48,50,Loamy/Clayey,157,136,326
14-35-14,19,50,48,Loamy/Clayey,149,139,328
14-35-14,20,53,39,Loamy/Clayey,143,140,324
14-35-14,21,51,45,Loamy/Clayey,142,121,317
14-35-14,26,55,42,Loamy/Clayey,148,127,328
14-35-14,23,53,48,Loamy/Clayey,154,134,326
14-35-14,28,46,41,Loamy/Clayey,151,124,320
14-35-14,24,54,48,Loamy/Clayey,152,123,303
14-35-14,20,55,39,Loamy/Clayey,154,136,306
14-35-14,28,52,37,Loamy/Clayey,141,138,345
14-35-14,24,61,37,Loamy/Clayey,149,123,300
14-35-14,18,63,42,Loamy/Clayey,141,136,308
14-35-14,18,62,43,Loamy/Clayey,147,131,303
14-35-14,18,57,45,Loamy/Clayey,157,129,322
14-35-14,29,55,46,Loamy/Clayey,144,130,307
14-35-14,20,62,45,Loamy/Clayey,155,120,322
14-35-14,29,52,39,Loamy/Clayey,154,130,319
14-35-14,27,50,36,Loamy/Clayey,148,128,335
14-35-14,28,52,36,Loamy/Clayey,155,136,347
14-35-14,19,55,36,Loamy/Clayey,144,124,339
14-35-14,20,63,48,Loamy/Clayey,154,133,311
14-35-14,20,49,47,Loamy/Clayey,144,133,346
14-35-14,22,58,37,Loamy/Clayey,146,126,338
14-35-14,25,50,39,Loamy/Clayey,148,123,343
14-35-14,21,64,39,Loamy/Clayey,156,126,331
14-35-14,30,51,36,Loamy/Clayey,160,131,309
14-35-14,26,50,39,Loamy/Clayey,157,136,324
14-35-14,24,54,47,Loamy/Clayey,141,129,304
14-35-14,18,60,35,Loamy/Clayey,160,137,314
14-35-14,18,47,45,Loamy/Clayey,141,133,312
14-35-14,30,65,36,Loamy/Clayey,159,128,300
14-35-14,22,58,41,Loamy/Clayey,156,128,318
14-35-14,18,62,36,Loamy/Clayey,148,140,322
14-35-14,29,64,42,Loamy/Clayey,141,140,340
14-35-14,22,56,40,Loamy/Clayey,153,122,332
14-35-14,20,56,42,Loamy/Clayey,147,128,325
14-35-14,28,59,44,Loamy/Clayey,157,135,328
14-35-14,21,56,43,Loamy/Clayey,154,123,324
14-35-14,18,60,44,Loamy/Clayey,148,133,319
14-35-14,26,61,41,Loamy/Clayey,149,125,326
14-35-14,23,59,36,Loamy/Clayey,141,136,338
14-35-14,25,64,48,Loamy/Clayey,143,129,332
14-35-14,19,57,36,Loamy/Clayey,141,136,331
14-35-14,18,50,41,Loamy/Clayey,146,133,307
14-35-14,30,57,47,Loamy/Clayey,156,128,313
14-35-14,24,59,47,Loamy/Clayey,148,137,315
14-35-14,28,46,45,Loamy/Clayey,146,124,317
14-35-14,26,47,41,Loamy/Clayey,141,133,328
14-35-14,30,60,45,Loamy/Clayey,140,132,349
14-35-14,27,55,46,Loamy/Clayey,156,123,348
14-35-14,28,54,36,Loamy/Clayey,159,140,337
14-35-14,18,62,49,Loamy/Clayey,142,134,316
14-35-14,25,64,49,Loamy/Clayey,157,135,332
14-35-14,18,61,38,Loamy/Clayey,152,122,328
14-35-14,29,45,37,Loamy/Clayey,159,126,306
14-35-14,20,61,38,Loamy/Clayey,157,135,334
14-35-14,29,65,50,Loamy/Clayey,158,130,337
14-35-14,20,64,46,Loamy/Clayey,156,122,349
14-35-14,23,52,40,Loamy/Clayey,157,138,344
14-35-14,18,51,40,Loamy/Clayey,145,138,300
14-35-14,27,52,45,Loamy/Clayey,143,124,341
14-35-14,26,51,36,Loamy/Clayey,141,129,301
14-35-14,19,56,36,Loamy/Clayey,144,127,340
14-35-14,19,46,35,Loamy/Clayey,145,137,338
14-35-14,25,53,45,Loamy/Clayey,141,138,334
14-35-14,18,59,47,Loamy/Clayey,153,129,302
14-35-14,26,58,40,Loamy/Clayey,148,136,308
14-35-14,19,57,35,Loamy/Clayey,158,126,336
14-35-14,22,47,35,Loamy/Clayey,145,139,320
14-35-14,21,59,50,Loamy/Clayey,144,128,321
14-35-14,29,56,39,Loamy/Clayey,147,140,349
14-35-14,30,61,46,Loamy/Clayey,153,129,335
14-35-14,21,65,39,Loamy/Clayey,155,133,309
14-35-14,20,51,35,Loamy/Clayey,152,136,330
14-35-14,24,49,49,Loamy/Clayey,152,129,313
14-35-14,21,46,40,Loamy/Clayey,152,136,322
14-35-14,25,56,48,Loamy/Clayey,154,131,307
14-35-14,21,56,49,Loamy/Clayey,145,126,330
14-35-14,27,57,49,Loamy/Clayey,154,129,334
14-35-14,20,58,45,Loamy/Clayey,146,139,313
14-35-14,28,53,47,Loamy/Clayey,160,135,341
14-35-14,23,50,42,Loamy/Clayey,158,122,344
14-35-14,26,56,41,Loamy/Clayey,152,134,302
14-35-14,25,48,39,Loamy/Clayey,159,126,300
14-35-14,28,54,36,Loamy/Clayey,158,120,340
14-35-14,18,48,37,Loamy/Clayey,156,134,336
14-35-14,29,56,37,Loamy/Clayey,146,130,349
14-35-14,18,59,42,Loamy/Clayey,154,129,333
14-35-14,25,45,43,Loamy/Clayey,152,138,347
14-35-14,23,47,46,Loamy/Clayey,155,139,302
14-35-14,18,56,36,Loamy/Clayey,156,132,313
14-35-14,26,53,48,Loamy/Clayey,147,132,348
14-35-14,26,46,50,Loamy/Clayey,153,136,329
14-35-14,29,49,50,Loamy/Clayey,155,137,304
14-35-14,18,62,43,Loamy/Clayey,148,124,317
14-35-14,20,46,48,Loamy/Clayey,144,127,328
20-20,20,66,48,All soil types,200,200,200
20-20,20,58,47,All soil types,200,200,200
20-20,31,68,52,All soil types,200,200,200
20-20,31,64,60,All soil types,200,200,200
20-20,21,64,51,All soil types,200,200,200
20-20,31,55,56,All soil types,200,200,200
20-20,27,53,43,All soil types,200,200,200
20-20,22,67,45,All soil types,200,200,200
20-20,25,67,44,All soil types,200,200,200
20-20,24,59,43,All soil types,200,200,200
20-20,27,61,45,All soil types,200,200,200
20-20,23,57,52,All soil types,200,200,200
20-20,25,63,55,All soil types,200,200,200
20-20,22,64,59,All soil types,200,200,200
20-20,27,59,57,All soil types,200,200,200
20-20,29,56,49,All soil types,200,200,200
20-20,30,51,54,All soil types,200,200,200
20-20,30,51,43,All soil types,200,200,200
20-20,20,64,54,All soil types,200,200,200
20-20,30,54,56,All soil types,200,200,200
20-20,32,56,47,All soil types,200,200,200
20-20,28,55,43,All soil types,200,200,200
20-20,23,59,53,All soil types,200,200,200
20-20,20,54,55,All soil types,200,200,200
20-20,30,67,46,All soil types,200,200,200
20-20,26,54,41,All soil types,200,200,200
20-20,24,64,52,All soil types,200,200,200
20-20,25,55,47,All soil types,200,200,200
20-20,27,70,43,All soil types,200,200,200
20-20,32,53,57,All soil types,200,200,200
20-20,31,53,56,All soil types,200,200,200
20-20,30,62,47,All soil types,200,200,200
20-20,28,53,52,All soil types,200,200,200
20-20,24,55,42,All soil types,200,200,200
20-20,29,69,41,All soil types,200,200,200
20-20,27,70,47,All soil types,200,200,200
20-20,26,59,43,All soil types,200,200,200
20-20,23,63,47,All soil types,200,200,200
20-20,30,59,53,All soil types,200,200,200
20-20,32,62,54,All soil types,200,200,200
20-20,23,69,41,All soil types,200,200,200
20-20,27,66,45,All soil types,200,200,200
20-20,23,61,48,All soil types,200,200,200
20-20,32,60,50,All soil types,200,200,200
20-20,20,63,54,All soil types,200,200,200
20-20,23,58,40,All soil types,200,200,200
20-20,30,69,52,All soil types,200,200,200
20-20,31,70,55,All soil types,200,200,200
20-20,20,59,46,All soil types,200,200,200
20-20,23,61,50,All soil types,200,200,200
20-20,23,62,59,All soil types,200,200,200
20-20,21,70,46,All soil types,200,200,200
20-20,28,58,56,All soil types,200,200,200
20-20,24,64,54,All soil types,200,200,200
20-20,25,68,41,All soil types,200,200,200
20-20,26,64,44,All soil types,200,200,200
20-20,27,54,48,All soil types,200,200,200
20-20,20,64,57,All soil types,200,200,200
20-20,31,56,53,All soil types,200,200,200
20-20,31,51,56,All soil types,200,200,200
20-20,31,62,58,All soil types,200,200,200
20-20,25,70,47,All soil types,200,200,200
20-20,29,57,42,All soil types,200,200,200
20-20,26,67,45,All soil types,200,200,200
20-20,21,51,57,All soil types,200,200,200
20-20,29,57,58,All soil types,200,200,200
20-20,21,68,55,All soil types,200,200,200
20-20,20,68,41,All soil types,200,200,200
20-20,28,58,43,All soil types,200,200,200
20-20,26,62,41,All soil types,200,200,200
20-20,20,68,54,All soil types,200,200,200
20-20,30,63,57,All soil types,200,200,200
20-20,28,55,48,All soil types,200,200,200
20-20,24,70,59,All soil types,200,200,200
20-20,25,52,46,All soil types,200,200,200
20-20,32,68,46,All soil types,200,200,200
20-20,28,60,41,All soil types,200,200,200
20-20,22,64,41,All soil types,200,200,200
20-20,22,55,53,All soil types,200,200,200
20-20,25,52,44,All soil types,200,200,200
20-20,27,54,54,All soil types,200,200,200
20-20,23,53,42,All soil types,200,200,200
20-20,26,63,54,All soil types,200,200,200
20-20,32,56,53,All soil types,200,200,200
20-20,28,66,54,All soil types,200,200,200
20-20,21,54,52,All soil types,200,200,200
20-20,29,59,42,All soil types,200,200,200
20-20,28,64,44,All soil types,200,200,200
20-20,27,69,52,All soil types,200,200,200
20-20,27,70,55,All soil types,200,200,200
20-20,25,65,51,All soil types,200,200,200
20-20,25,53,44,All soil types,200,200,200
20-20,26,68,60,All soil types,200,200,200
20-20,31,59,56,All soil types,200,200,200
20-20,26,60,43,All soil types,200,200,200
20-20,29,51,41,All soil types,200,200,200
20-20,32,59,54,All soil types,200,200,200
20-20,21,59,53,All soil types,200,200,200
20-20,20,62,44,All soil types,200,200,200
20-20,23,58,43,All soil types,200,200,200
17-17-17,33,56,51,Loamy/Sandy,170,170,170
17-17-17,29,57,55,Loamy/Sandy,170,170,170
17-17-17,25,65,45,Loamy/Sandy,170,170,170
17-17-17,33,69,50,Loamy/Sandy,170,170,170
17-17-17,32,64,46,Loamy/Sandy,170,170,170
17-17-17,34,66,44,Loamy/Sandy,170,170,170
17-17-17,32,69,44,Loamy/Sandy,170,170,170
17-17-17,31,52,46,Loamy/Sandy,170,170,170
17-17-17,28,52,51,Loamy/Sandy,170,170,170
17-17-17,29,62,44,Loamy/Sandy,170,170,170
17-17-17,24,70,40,Loamy/Sandy,170,170,170
17-17-17,23,53,51,Loamy/Sandy,170,170,170
17-17-17,28,60,46,Loamy/Sandy,170,170,170
17-17-17,24,53,45,Loamy/Sandy,170,170,170
17-17-17,25,70,50,Loamy/Sandy,170,170,170
17-17-17,31,52,43,Loamy/Sandy,170,170,170
17-17-17,28,59,46,Loamy/Sandy,170,170,170
17-17-17,26,52,40,Loamy/Sandy,170,170,170
17-17-17,26,68,43,Loamy/Sandy,170,170,170
17-17-17,29,57,45,Loamy/Sandy,170,170,170
17-17-17,24,54,49,Loamy/Sandy,170,170,170
17-17-17,24,64,50,Loamy/Sandy,170,170,170
17-17-17,23,55,45,Loamy/Sandy,170,170,170
17-17-17,26,60,41,Loamy/Sandy,170,170,170
17-17-17,32,50,54,Loamy/Sandy,170,170,170
17-17-17,31,68,52,Loamy/Sandy,170,170,170
17-17-17,24,70,50,Loamy/Sandy,170,170,170
17-17-17,24,53,41,Loamy/Sandy,170,170,170
17-17-17,34,50,52,Loamy/Sandy,170,170,170
17-17-17,27,58,52,Loamy/Sandy,170,170,170
17-17-17,23,51,48,Loamy/Sandy,170,170,170
17-17-17,34,70,54,Loamy/Sandy,170,170,170
17-17-17,31,50,45,Loamy/Sandy,170,170,170
17-17-17,25,57,54,Loamy/Sandy,170,170,170
17-17-17,22,69,48,Loamy/Sandy,170,170,170
17-17-17,24,60,43,Loamy/Sandy,170,170,170
17-17-17,23,51,49,Loamy/Sandy,170,170,170
17-17-17,27,57,46,Loamy/Sandy,170,170,170
17-17-17,28,70,44,Loamy/Sandy,170,170,170
17-17-17,25,62,47,Loamy/Sandy,170,170,170
17-17-17,22,51,49,Loamy/Sandy,170,170,170
17-17-17,22,54,44,Loamy/Sandy,170,170,170
17-17-17,34,63,49,Loamy/Sandy,170,170,170
